transaction_id,sender_id,receiver_id,amount,timestamp
TXN_J13,S90_C,S90_A,2800.00,2026-01-26 02:00:00
TXN_J14,S90_A,S90_R01,200.00,2026-01-28 00:00:00
TXN_J15,S90_A,S90_R02,210.00,2026-01-28 01:00:00
TXN_J16,S90_A,S90_R03,220.00,2026-01-28 02:00:00
TXN_J17,S90_A,S90_R04,230.00,2026-01-28 03:00:00
TXN_J18,S90_A,S90_R05,240.00,2026-01-28 04:00:00
TXN_J19,S90_A,S90_R06,250.00,2026-01-28 05:00:00
TXN_J20,S90_A,S90_R07,260.00,2026-01-28 06:00:00
TXN_J21,S90_A,S90_R08,270.00,2026-01-28 07:00:00
TXN_J22,S90_A,S90_R09,280.00,2026-01-28 08:00:00
TXN_J23,S90_A,S90_R10,290.00,2026-01-28 09:00:00
TXN_K01,OW_01,OW_TGT,100.00,2026-01-01 00:00:00
TXN_K02,OW_02,OW_TGT,110.00,2026-01-05 00:00:00
TXN_K03,OW_03,OW_TGT,120.00,2026-01-09 00:00:00
TXN_K04,OW_04,OW_TGT,130.00,2026-01-13 00:00:00
TXN_K05,OW_05,OW_TGT,140.00,2026-01-17 00:00:00
TXN_K06,OW_06,OW_TGT,150.00,2026-01-21 00:00:00
TXN_K07,OW_07,OW_TGT,160.00,2026-01-25 00:00:00
TXN_K08,OW_08,OW_TGT,170.00,2026-01-29 00:00:00
TXN_K09,OW_09,OW_TGT,180.00,2026-02-02 00:00:00
TXN_K10,OW_10,OW_TGT,190.00,2026-02-06 00:00:00
TXN_L01,SP-A.1,SP-B.2,700.00,2026-01-30 00:00:00
TXN_L02,SP-B.2,SP-C.3,680.00,2026-01-30 01:00:00
TXN_L03,SP-C.3,SP-A.1,660.00,2026-01-30 02:00:00
TXN_M01,DUP_A,DUP_B,100.00,2026-01-31 00:00:00
TXN_M01,DUP_B,DUP_C,200.00,2026-01-31 01:00:00
TXN_M02,DUP_C,DUP_A,300.00,2026-01-31 02:00:00
TXN_N01,LONE_A,LONE_B,50.00,2026-02-01 00:00:00
TXN_N02,LONE_C,LONE_D,60.00,2026-02-01 01:00:00
TXN_N03,LONE_E,LONE_F,70.00,2026-02-01 02:00:00
